19241	9101	
2606	6922	
27616	15935	
1890	8667	
7358	20873	
14802	733	
14126	15550	
19166	15771	
2282	10419	
9975	28194	
5182	19491	
23191	26875	
24505	15235	
22829	39109	
18237	35363	
11701	39151	
20597	2237	
25815	13392	
8406	11742	
1254	29155	
29998	38766	
27096	28450	
153	16350	
28805	1277	
10691	6700	
5016	20983	
19512	11414	
19698	36446	
15526	37081	
382	34405	
18180	15460	
21408	351	
7468	21406	
25591	7770	
13667	22545	
9457	854	
17274	3505	
21694	11425	
8157	28301	
10956	22928	
1000	29009	
12161	20316	
6378	4405	
760	15830	
14833	35078	
17250	39816	
4661	39311	
621	32746	
20529	2596	
20499	14654	
16811	32714	
22153	12744	
181	25734	
6136	36909	
20972	21825	
5673	1512	
7390	27476	
11192	4643	
1337	21366	
28395	38520	
17774	29055	
25372	34435	
23636	34264	
17698	11811	
26904	3522	
14926	19278	
10994	26687	
15729	32078	
27348	1184	
17211	25372	
21051	4588	
22766	18135	
22872	19434	
6177	31009	
11832	37708	
11984	19735	
8655	32568	
21857	6634	
29412	36596	
19362	17887	
24518	34093	
845	8287	
26492	27363	
5229	29243	
7081	26357	
4571	39169	
28062	26372	
7057	7476	
5130	25607	
3615	36074	
12125	29931	
24140	38663	
8362	12196	
8532	39057	
28474	37141	
16160	28145	
4877	13848	
18612	21125	
6876	23082	
13633	34660	
16010	16822	
24379	22895	
12633	6268	
5844	208	
9816	15390	
20407	5970	
19818	20039	
19793	19869	
9474	7544	
28666	12300	
17658	39921	
8226	3117	
29635	20344	
26742	22804	
29463	8393	
19729	7516	
26954	11738	
1983	11324	
29823	14601	
18541	5505	
28663	9956	
28316	2093	
5684	13717	
21013	21228	
6940	37544	
21990	36399	
8376	2875	
14362	37032	
7468	13569	
18151	16352	
22801	29874	
20993	29112	
686	19091	
10028	27130	
26854	13405	
2303	20955	
29514	27277	
18259	28303	
26975	21767	
12458	4553	
23546	167	
17709	2894	
3304	24422	
16846	15413	
25546	25894	
22668	20285	
27486	22107	
27765	31818	
7865	9045	
25590	28222	
25152	814	
22525	20656	
24821	24972	
28256	30540	
14030	18963	
17030	20039	
15666	20202	
19458	6461	
189	33897	
28609	12840	
4035	20764	
24937	23999	
10497	4918	
17841	34409	
22031	15318	
20992	31900	
28545	10350	
25693	34391	
16653	12246	
9573	3384	
22135	33324	
25804	33530	
20839	5157	
18250	18063	
17997	7797	
8023	8918	
15307	16791	
22369	29945	
11792	27385	
5193	25702	
20196	24520	
26351	8744	
9295	26835	
3442	19553	
14629	10718	
7353	39718	
8556	38342	
5455	10999	
8462	38155	
8313	27674	
23817	31807	
19587	17107	
6996	11786	
4841	15489	
3597	14743	
23570	16471	
15309	2719	
17558	29686	
14860	4496	
1680	34980	
10497	13273	
13886	25708	
22946	1045	
19029	31506	
11498	18961	
6322	23920	
25768	26748	
3291	19057	
3428	37354	
11604	36265	
21964	34757	
1518	37776	
29965	11856	
25177	11866	
9806	38041	
7402	14964	
24565	39227	
152	24284	
17517	31245	
26081	2781	
9279	25771	
19881	39782	
4893	287	
27042	31814	
23582	24491	
27367	38151	
12787	9013	
19586	38500	
14696	5007	
4190	4968	
13846	39587	
3142	34084	
8902	31032	
29068	34764	
27872	28387	
16038	23406	
21457	30412	
9523	27792	
3867	13531	
23180	34982	
262	3392	
19109	32621	
23844	25309	
21650	9319	
12099	24336	
3703	7283	
26923	37600	
28295	30472	
21447	10947	
10510	8398	
18080	4169	
8362	9497	
17637	21737	
16996	30466	
16599	37031	
17245	27236	
12977	37790	
15715	20720	
22005	33199	
4771	31278	
12833	38022	
5752	16721	
18528	39942	
11729	16373	
25004	28433	
6417	7223	
10993	4533	
23088	22449	
13438	16886	
27327	12944	
23685	12468	
25417	4564	
7426	6329	
7524	22180	
14824	27937	
29527	23628	
24630	8678	
10422	18836	
21352	24327	
28440	34174	
24570	18325	
26602	26139	
24695	2010	
25468	32266	
13312	29798	
8809	1806	
21465	247	
23140	24203	
14365	38468	
5869	2333	
9057	6630	
4419	23445	
16006	33700	
19108	6289	
6488	12889	
320	25399	
14820	20676	
17468	5582	
16774	34732	
14642	10873	
15200	7726	
14997	27856	
24358	5477	
17954	19484	
5766	4596	
10770	13231	
16278	27378	
18860	11806	
21094	29811	
28695	29661	
21060	8751	
13677	23285	
22414	24082	
1435	16484	
3905	39327	
13702	17361	
20048	4866	
6519	18730	
9601	13360	
29047	5660	
13186	17149	
26726	21614	
9049	26042	
228	17275	
27417	38472	
26578	18058	
7535	31166	
3571	29131	
18460	17970	
5501	3121	
7502	21544	
19196	35238	
26950	25877	
27477	33711	
19166	34062	
7239	29470	
14372	14994	
19501	27438	
18799	23280	
3168	38526	
2899	24790	
20250	12845	
15343	5496	
5846	23310	
6611	2969	
15219	18248	
10894	11577	
25671	19597	
8422	15580	
6368	19189	
13137	11442	
7222	22518	
1952	16936	
6412	22082	
25068	27338	
20245	11710	
27704	9875	
22195	14682	
21462	38931	
24090	34513	
14150	17403	
25940	16127	
4472	22536	
20605	30874	
22370	5834	
5135	11854	
18254	21264	
12936	20025	
3195	22258	
23015	640	
8340	25467	
12949	15052	
1661	16689	
16768	29349	
19801	20225	
12531	12713	
20473	9164	
12161	10536	
27887	22792	
2481	415	
25024	15892	
15427	7952	
3576	9629	
26145	10682	
5496	12966	
11537	32122	
21546	9079	
24198	19966	
28277	36772	
4150	3106	
18476	26936	
7510	4009	
4912	191	
28737	34329	
11846	31469	
8440	755	
13252	750	
13123	18509	
10372	31819	
19909	6606	
8347	3189	
7470	27398	
25971	22130	
11051	3175	
12580	28449	
12504	36836	
21410	5739	
27589	2021	
13840	16200	
21958	2212	
14402	5931	
23188	38631	
25264	25804	
24529	26842	
6294	27728	
22553	6024	
19144	1110	
28035	19510	
7715	36064	
9863	12508	
14607	12380	
12874	38913	
7841	16718	
8597	21042	
25228	29021	
23428	14942	
23175	8759	
4778	14481	
8698	38561	
2593	37707	
2962	14046	
11119	34300	
26548	21691	
11380	18207	
8558	4213	
19904	37360	
1305	2248	
3105	13067	
9787	8854	
17306	16675	
23432	24304	
4768	6875	
16537	6851	
14350	4804	
6261	4770	
4936	10356	
539	23979	
22492	4991	
28498	1113	
14948	34965	
12792	15590	
23864	3768	
25846	39963	
13553	28760	
2836	24885	
7337	10124	
27785	30773	
26861	23983	
2619	37189	
36	27221	
14293	9026	
27289	25129	
9367	9130	
27780	11941	
26838	9187	
22008	38572	
16692	9894	
25077	3207	
26298	22470	
10061	4666	
13138	31969	
10052	16194	
7762	27682	
13584	19694	
1746	4720	
19424	15703	
7823	36022	
15929	39486	
20344	8912	
10588	12352	
14837	7119	
1683	15800	
3015	31913	
17978	24241	
26298	14848	
1434	14662	
22168	10893	
11328	22361	
15607	17449	
17373	30380	
25058	14200	
23351	38623	
7718	10866	
16588	22854	
7906	13071	
4086	2662	
14962	8782	
10922	31693	
20837	25379	
