27194	svr	idq	1237	1436	1058	
3524	rhn	bpi	12501	290	525	
42131	rim	qzr	13608	704	516	
13738	bst	jhf	17117	492	1294	
49679	fjp	moc	10602	403	472	
40485	mbg	ftt	10640	166	178	
1702	nad	agh	7435	350	1292	
45519	feh	qjm	7541	1385	353	
13026	cmm	tch	16953	652	61	
34106	chz	svd	327	26	633	
46677	gtp	jff	19801	485	38	
55279	qvg	jzf	9922	1261	102	
18212	fsv	juv	288	24	393	
14261	rxg	syg	11150	612	570	
59103	dkv	vjg	14063	851	86	
48849	abi	qmg	2179	820	294	
6990	hjn	pon	11373	1233	185	
53607	hmz	jyr	10298	837	505	
30889	tiu	vly	11455	1137	769	
6682	blc	akx	18997	883	598	
38756	rea	xuz	19203	31	300	
6933	ver	uot	12038	533	976	
32004	sas	jef	5323	1137	463	
49318	mtl	ijt	10011	633	1122	
33074	oae	mix	8886	432	546	
579	ibj	vmw	16938	1354	1034	
619	wna	uer	777	720	1320	
45100	cth	mbh	10072	239	516	
37265	rmd	xkx	8811	701	1085	
17101	xfm	vwp	2756	721	227	
5602	ujb	mni	6878	756	601	
10430	jhz	ojg	11089	1081	619	
58370	cmh	srp	19354	236	1153	
12264	xlr	fma	10129	787	555	
32983	vjk	yth	16965	110	750	
19174	zpu	slg	4429	370	1239	
3665	qqz	bps	17710	1032	1109	
3045	wiw	oaw	19313	433	898	
55428	zky	vat	9863	665	342	
57385	yfq	awn	9430	755	1273	
4627	yhs	eiq	18881	490	1217	
5901	mgt	anp	9960	1415	475	
9226	cmb	qgw	14178	633	547	
14535	iru	tun	15319	1420	1365	
28872	utf	ooj	16546	691	1200	
9158	rph	ifs	954	1037	283	
36535	xib	xsf	10948	317	1385	
19800	xgx	xgr	19485	648	1313	
34682	syi	phg	10769	910	109	
1836	een	jya	876	945	920	
11521	yry	aaf	8143	1373	317	
26416	dba	ehs	13657	1197	645	
54235	qaa	umq	12799	1202	7	
23384	ovn	tlm	9863	253	1404	
56360	syp	rdr	14932	156	85	
51292	zpq	utp	58	377	858	
46282	dwj	jwm	1680	702	1423	
55292	qcb	jcn	1014	183	961	
37495	uoq	rbk	8601	1158	491	
20291	hpr	nmj	340	1286	77	
15630	yia	msb	1178	443	182	
25924	tbg	vze	3141	1403	404	
40707	vxf	bcd	17237	466	1371	
9541	htc	hal	18781	327	1211	
34840	dop	jok	676	1277	1361	
14487	fof	vlr	9665	354	596	
40842	yyr	omd	688	160	34	
46846	jka	qwa	13068	8	852	
24805	gyt	uwt	202	1378	535	
9811	apr	xlo	4700	990	1297	
31061	qnh	wts	18117	636	1279	
35011	gqf	rcf	14650	913	1242	
34042	nmq	ybb	16597	401	63	
8244	jql	phn	3271	1019	751	
37271	gjw	irs	482	825	660	
44868	fac	xqv	4931	387	1248	
57702	zvd	xkk	2085	763	900	
44493	qhx	zeo	12055	448	1218	
11787	gxn	hbq	612	1367	323	
53768	pgv	ghv	5539	185	1037	
59299	zcv	wmh	15593	220	354	
28012	jdu	gxe	15651	1195	1041	
